Shot,Section,Timecode,Narration (s),Clip length (s),On-screen title,Narration,Image prompt,Video prompt,Video negative prompt
13,1. Trepanation,1:47–1:56,9,10,,"That's better than surgeons managed during the American Civil War, four centuries later. Enjoy those odds. They're the best you'll get tonight.","A flat 2D cut-paper Civil War field surgeon in a blue uniform and bloodless apron. Action: the surgeon shrugs sheepishly beside a canvas field tent. Environment: an 1860s Civil War canvas field-hospital tent with wooden cots and lanterns. Camera: Eye-level medium shot. Lighting: dusty afternoon light through canvas. Mood: Ironic humor. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Slow push-out. The Civil War surgeon shrugs twice sheepishly, the tent canvas ripples in a breeze, and a lantern sways. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
14,2. Bloodletting,1:56–1:58,2,5,BLOODLETTING,Bloodletting. It's December 1799 in Virginia.,"A Georgian red-brick house in fresh snow. Action: candlelit windows glow as light snow falls. Environment: rural Virginia in December 1799, a red-brick Georgian house with bare trees and fresh snow at dusk. Camera: Wide establishing exterior shot. Lighting: cold blue dusk with warm window glow. Mood: Quiet, wintry. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Snow falls steadily as the camera pushes slowly toward the brick house. The candlelit windows flicker. Keep the upper center clear for the title. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
15,2. Bloodletting,1:58–2:05,7,10,,"You woke up with a raw, swollen throat, and every breath now comes with a thin whistle.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as an 18th-century gentleman in a white linen nightshirt and nightcap with a grey tied-back queue) sitting up in the four-poster bed. Action: the patient clutches their throat, which has a soft red doodle glow. Environment: a Georgian-era Virginia bedroom in December 1799 with wood paneling, a four-poster bed, a pewter basin and a frosted window. Camera: Eye-level medium shot. Lighting: grey winter window light mixed with warm candlelight. Mood: Uncomfortable. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The patient clutches their throat. The red glow pulses with each labored breath, and tiny whistle squiggles puff from the mouth in rhythm. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
16,2. Bloodletting,2:05–2:13,8,10,,Your doctors arrive with the most trusted treatment of the last two thousand years. They're going to drain your blood.,"Three copies of the healer (a tall, thin cut-paper cartoon figure with a long face and mitten hands, wearing a black 18th-century physician's coat and white cravat) entering the bedroom doorway in a line. Action: the lead physician carries a small leather case. Environment: a Georgian-era Virginia bedroom in December 1799 with wood paneling, a four-poster bed, a pewter basin and a frosted window. Camera: Eye-level wide shot from the bed. Lighting: grey winter window light mixed with warm candlelight. Mood: Formal, ominous. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The bedroom door swings open, and three tall physicians step in one after another in stop-motion strides. The lead physician lifts the leather case, and the candle flames bend in the draft. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
17,2. Bloodletting,2:13–2:24,11,10,,"The idea goes back to ancient Greece. Your body supposedly runs on four fluids, and sickness means one is out of balance. Too much blood? Let some out.","An antique brass balance scale holding four small jars colored oxblood, cream, mustard and near-black. Action: the scale tips unevenly toward the oxblood jar. Environment: an x-ray style explainer panel with a dark teal background and cream line-art anatomy. Camera: Straight-on diagram view. Lighting: flat, even graphic lighting with a soft glow on the highlighted elements. Mood: Explanatory. Style: x-ray explainer panel, dark teal background, cream hand-drawn line art, mustard/oxblood highlights, toxic-green harmful substance, non-graphic, 16:9.","The brass scale seesaws, then settles heavily toward the oxblood jar. At the end, a mitten hand flicks the oxblood jar off the edge of the frame. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
18,2. Bloodletting,2:24–2:35,11,10,,"A small blade opens a vein in your arm, and dark blood runs into a bowl. You feel lightheaded. The doctors take that as a sign it's working.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as an 18th-century gentleman in a white linen nightshirt and nightcap with a grey tied-back queue) with an arm extended over a pewter bowl, one physician holding the lancet. Action: the bowl is seen at an angle showing only a dark red surface; no wound detail. Environment: a Georgian-era Virginia bedroom in December 1799 with wood paneling, a four-poster bed, a pewter basin and a frosted window. Camera: Eye-level medium close-up. Lighting: grey winter window light mixed with warm candlelight. Mood: Restrained, grim. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The physician's hand brings the lancet toward the arm; cut away before contact. The dark surface in the pewter bowl rises slowly. The patient's eyes turn to spirals and he sways while the doctors nod approvingly. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
19,2. Bloodletting,2:35–2:45,10,10,,"It isn't. Your throat keeps closing, so they bleed you again. And again. As the blood leaves, your heart races to push around what's left.","Three pewter bowls lined up on the bedside table next to a candle. Action: a mitten hand places the third bowl in the row. Environment: a Georgian-era Virginia bedroom in December 1799 with wood paneling, a four-poster bed, a pewter basin and a frosted window. Composition: bowls in a diagonal line from left to right. Camera: Eye-level macro shot. Lighting: grey winter window light mixed with warm candlelight. Mood: Escalating dread. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Slow slide along the bedside table. A mitten hand sets down the third pewter bowl with a small bounce, and the candle flame gutters. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
20,2. Bloodletting,2:45–3:01,16,10,,"Your skin turns cold and clammy. Your lips go pale. You feel a thirst that water can't fix. Every organ is now getting less oxygen than it needs, while your body is still trying to fight a throat infection.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as an 18th-century gentleman in a white linen nightshirt and nightcap with a grey tied-back queue) lying in bed, face pale greyish-cream with blue-tinged lips. Action: the patient reaches weakly toward a water pitcher on the nightstand, shiver lines and sweat drops around the face. Environment: a Georgian-era Virginia bedroom in December 1799 with wood paneling, a four-poster bed, a pewter basin and a frosted window. Camera: Close-up. Lighting: grey winter window light mixed with warm candlelight. Mood: Weak, cold. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Slow push-in. The patient's face drains step by step from cream to grey and the lips tint blue. A trembling hand reaches for the water pitcher and falls short. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
21,2. Bloodletting,3:01–3:07,6,5,,"By evening, you've lost roughly forty percent of your blood. There's nothing left to fight with.","A glass jar shaped like a human silhouette, 60% filled with dark red liquid. Action: a mustard '40%' tag hangs off the jar's empty upper portion. Environment: a dark wooden table in the Georgian bedroom. Composition: jar centered. Camera: Straight-on infographic shot. Lighting: grey winter window light mixed with warm candlelight. Mood: Stark. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The red liquid in the silhouette-shaped jar drains from full to 60%, and the mustard ""40%"" tag swings into place. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
22,2. Bloodletting,3:07–3:11,4,5,,"That's how George Washington died on December 14th, 1799.","An 18th-century oil portrait of an older gentleman in a powdered wig, in a gilt frame on paneled wall. Action: a black mourning ribbon drapes across the corner of the frame. Environment: a Georgian-era Virginia bedroom in December 1799 with wood paneling, a four-poster bed, a pewter basin and a frosted window. Camera: Eye-level medium shot, slow push-in. Lighting: soft candlelight. Mood: Solemn. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Slow push-in on the framed portrait. The black mourning ribbon stirs slightly, and candlelight flickers across the gilt frame. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
23,2. Bloodletting,3:11–3:21,10,10,,"His doctors weren't careless. They were following the best medicine of their time. Bloodletting faded during the 1800s, once doctors started counting who actually survived it.","Two copies of the healer (a tall, thin cut-paper cartoon figure with a long face and mitten hands, wearing a black 18th-century physician's coat and white cravat) studying a thick leather medical book. Action: they point at a page, serious and certain. Environment: a Georgian-era Virginia bedroom in December 1799 with wood paneling, a four-poster bed, a pewter basin and a frosted window. Camera: Eye-level medium shot. Lighting: warm candlelight on the book. Mood: Earnest, tragic. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","Slow push-out. The two physicians turn pages of the medical book, and one taps a page decisively. The candle burns visibly lower. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
24,3. Mercury,3:21–3:28,7,10,MERCURY,"Mercury. You're a settler on the American frontier in the 1840s, shaking with fever under three blankets.","The patient (a pear-shaped cut-paper cartoon figure with wide oval eyes and mitten hands, dressed as an 1840s frontier settler in a faded plaid shirt and suspenders) buried under three thick patchwork quilts. Action: only the head pokes out, surrounded by shiver lines. Environment: the interior of an 1840s log cabin on the American frontier with a stone hearth, quilts and rough-hewn furniture. Camera: Eye-level medium shot. Lighting: flickering orange hearth firelight, dark corners. Mood: Miserable, slightly comic. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The three quilts rise and fall with violent shivers while only the settler's head pokes out. The hearth fire flickers. Slight push-in. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
25,3. Mercury,3:28–3:35,7,10,,"The doctor reaches for the most popular medicine in his bag. Calomel, a white powder made from mercury.","The healer (a tall, thin cut-paper cartoon figure with a long face and mitten hands, wearing a battered top hat and a dusty frock coat, carrying a leather doctor's bag) beside the bed. Action: the doctor opens the leather bag with a confident flourish. Environment: the interior of an 1840s log cabin on the American frontier with a stone hearth, quilts and rough-hewn furniture. Camera: Eye-level medium shot. Lighting: flickering orange hearth firelight, dark corners. Mood: Confident. Style: flat 2D cut-paper cartoon with wobbly brown ink outline and cream sticker border on a photoreal period diorama background, shallow depth of field, film grain, muted sepia with mustard, teal and oxblood accents, toxic-green 'cure', non-graphic, 16:9.","The frontier doctor snaps the leather bag open with a flourish and pulls out the calomel jar. A single silver mercury bead rolls out across the table. Keep the exact character designs, colors and cut-paper style of the source image; slightly choppy stop-motion puppet motion, gentle diorama parallax, smooth camera; no morphing, no new characters, no text changes, no gore.","realistic humans, 3D render, extra limbs, face distortion, flicker, warping text, blood spray, graphic injury"
